,State,Region,iPhone Sales (in million units),iPad Sales (in million units),Mac Sales (in million units),Wearables (in million units),Services Revenue (in billion $)
34,Brazil,Rest of World,29.86,9.45,9.67,3.92,6.25
35,UK,Europe,23.34,9.22,6.47,10.89,15.56
36,California,North America,21.14,2.96,3.26,3.52,5.32
37,Hong Kong,Greater China,12.99,7.3,4.49,2.23,14.89
38,New York,North America,25.2,14.4,8.0,3.31,16.93
39,Chongqing,Greater China,11.79,7.05,8.33,11.81,15.66
40,Texas,North America,11.16,12.83,2.06,6.05,13.06
41,Texas,North America,27.91,8.84,9.78,6.97,13.36
42,California,North America,14.87,14.94,8.61,9.9,13.49
43,South Africa,Rest of World,11.78,14.17,7.16,11.4,10.67
44,Spain,Europe,29.36,8.34,5.44,4.53,18.88
45,UK,Europe,19.55,10.51,6.56,8.96,8.14
46,Japan,Rest of Asia,17.39,10.56,9.93,11.82,8.8
47,UK,Europe,24.97,5.38,4.7,2.89,5.5
48,Brazil,Rest of World,25.24,3.68,7.63,8.3,12.67
49,Chongqing,Greater China,19.66,11.05,4.6,5.84,12.82
50,Florida,North America,12.6,9.68,4.17,9.61,5.24
51,California,North America,28.25,9.16,1.22,3.03,17.99
52,Canada,Rest of World,21.58,9.81,9.31,7.26,7.24
53,Canada,Rest of World,20.51,7.61,3.31,5.28,14.46
54,UK,Europe,18.18,2.08,3.47,4.66,17.31
55,UK,Europe,18.79,6.59,6.56,8.7,18.31
56,Hong Kong,Greater China,20.42,8.76,8.74,3.84,16.73
57,California,North America,8.87,3.59,5.94,5.0,19.62
58,UK,Europe,20.84,2.74,1.83,6.0,5.33
59,Illinois,North America,21.37,9.84,7.66,2.33,19.03
60,South Korea,Rest of Asia,15.76,12.14,4.22,2.96,11.5
61,Florida,North America,5.75,9.95,6.97,11.94,15.45
62,Canada,Rest of World,27.98,4.88,5.99,10.87,6.32
63,Italy,Europe,23.49,8.08,2.34,9.98,5.51
64,Illinois,North America,29.67,6.05,7.07,10.84,16.98
65,UK,Europe,26.58,7.73,5.96,10.36,14.72
66,South Korea,Rest of Asia,6.85,10.25,6.74,11.83,16.49
67,Hong Kong,Greater China,28.27,8.25,5.57,3.09,14.65
68,Chongqing,Greater China,17.47,8.26,4.76,3.78,15.44
69,Beijing,Greater China,28.38,4.85,7.0,7.94,17.37
70,New York,North America,23.19,5.47,4.97,6.61,15.84
71,Japan,Rest of Asia,6.1,8.47,4.43,9.92,17.18
72,Italy,Europe,28.53,7.37,9.16,5.24,11.46
73,Chongqing,Greater China,27.24,14.61,5.57,3.63,6.72
74,India,Rest of Asia,13.12,2.58,3.63,7.54,15.18
75,Thailand,Rest of Asia,28.65,13.65,3.67,11.14,7.29
76,Indonesia,Rest of Asia,6.38,2.24,3.34,8.06,10.28
77,California,North America,24.08,9.3,4.65,11.9,12.4
78,New York,North America,21.51,12.58,9.46,6.62,6.02
79,South Africa,Rest of World,11.88,8.57,9.03,5.24,8.63
80,Shenzhen,Greater China,28.7,12.21,4.46,4.68,15.72
81,Hong Kong,Greater China,26.67,11.15,6.43,3.28,5.62
82,Florida,North America,11.33,4.33,9.09,3.42,7.0
83,Brazil,Rest of World,11.79,9.07,3.91,2.36,5.94
84,Shenzhen,Greater China,8.41,5.95,7.91,10.76,19.42
85,South Africa,Rest of World,25.8,4.4,6.84,4.91,18.44
86,Beijing,Greater China,22.58,12.33,6.81,4.26,7.74
87,Chongqing,Greater China,21.82,9.37,2.48,10.73,9.51
88,Florida,North America,19.95,11.25,8.94,10.2,12.98
89,Chongqing,Greater China,22.7,7.95,9.98,9.73,15.48
90,South Africa,Rest of World,16.84,13.52,1.88,3.33,19.2
91,UK,Europe,19.23,7.92,2.37,5.09,5.19
92,Shanghai,Greater China,27.23,11.11,2.33,5.69,18.36
93,Japan,Rest of Asia,23.13,12.58,6.1,8.65,17.2
94,Texas,North America,22.05,9.66,5.08,10.94,9.11
95,Hong Kong,Greater China,14.89,7.7,8.16,6.7,14.81
96,Hong Kong,Greater China,22.22,5.35,1.65,6.33,5.26
97,Italy,Europe,12.41,10.8,8.7,2.68,5.53
98,New York,North America,8.66,6.15,3.11,4.44,10.53
99,Hong Kong,Greater China,27.23,9.22,7.54,3.39,17.71
100,Japan,Rest of Asia,16.41,2.51,9.37,3.91,19.89
101,Germany,Europe,28.52,14.61,1.66,3.01,13.99
102,Indonesia,Rest of Asia,16.98,5.83,4.81,4.11,15.29
103,South Africa,Rest of World,20.18,6.75,3.52,5.63,8.29
104,Shanghai,Greater China,9.25,2.44,9.97,6.05,15.74
105,South Africa,Rest of World,7.78,12.56,6.9,10.93,14.18
106,Mexico,Rest of World,15.4,11.95,9.7,9.37,19.29
107,India,Rest of Asia,8.5,3.96,9.52,7.86,13.18
108,Italy,Europe,6.58,10.3,4.63,2.66,11.97
109,Mexico,Rest of World,5.16,6.95,9.0,7.52,18.95
110,France,Europe,7.66,4.35,4.08,11.18,9.6
111,Beijing,Greater China,7.38,7.05,3.47,3.96,7.4
112,Illinois,North America,15.51,3.73,6.82,4.93,8.71
113,Australia,Rest of World,5.63,5.92,2.45,4.82,9.42
114,Canada,Rest of World,20.49,13.08,8.06,3.78,5.11
115,California,North America,6.76,8.9,2.62,8.51,13.83
116,Brazil,Rest of World,7.39,4.25,4.18,10.24,7.91
117,South Korea,Rest of Asia,15.57,12.04,2.49,8.69,17.46
118,Shanghai,Greater China,12.93,10.29,1.57,7.98,8.75
119,Australia,Rest of World,13.33,5.5,6.3,8.41,19.58
120,Shanghai,Greater China,8.32,2.34,6.9,11.53,6.75
121,South Korea,Rest of Asia,28.24,13.67,6.77,6.12,17.31
122,South Africa,Rest of World,9.63,8.45,6.68,3.46,17.5
123,Texas,North America,26.36,10.12,8.15,6.86,15.76
124,Shenzhen,Greater China,13.86,3.85,4.84,7.13,14.08
125,Chongqing,Greater China,9.58,13.9,5.88,9.52,7.26
126,Beijing,Greater China,16.75,14.07,3.48,8.8,19.52
127,South Africa,Rest of World,24.19,9.13,6.07,2.28,10.31
128,Mexico,Rest of World,24.1,14.35,1.15,3.23,16.6
129,Australia,Rest of World,16.34,5.63,9.88,3.96,18.73
130,India,Rest of Asia,9.31,9.3,1.5,4.95,7.52
131,Brazil,Rest of World,12.57,14.67,2.16,3.92,17.01
132,Illinois,North America,27.31,8.27,8.33,5.09,19.6
133,Beijing,Greater China,29.66,10.99,3.72,2.01,19.57
134,Brazil,Rest of World,26.48,11.96,8.32,7.07,14.38
135,Shanghai,Greater China,22.97,3.83,5.52,10.57,9.41
136,Australia,Rest of World,10.12,4.78,8.32,5.17,15.83
137,Mexico,Rest of World,17.71,3.88,5.41,7.79,18.17
138,South Africa,Rest of World,5.2,5.26,1.51,3.91,10.35
139,Canada,Rest of World,17.84,12.84,8.57,2.53,14.78
140,South Korea,Rest of Asia,24.84,11.35,6.75,9.66,16.52
141,Australia,Rest of World,15.88,13.2,4.9,5.64,15.51
142,India,Rest of Asia,12.54,7.68,8.8,9.81,17.16
143,Brazil,Rest of World,26.13,4.03,1.33,3.37,12.1
144,Texas,North America,14.44,13.33,8.36,4.29,19.83
145,Australia,Rest of World,20.42,14.97,5.11,6.49,13.59
146,Germany,Europe,21.12,11.98,2.3,4.76,8.45
147,Shenzhen,Greater China,25.08,4.84,5.32,9.69,10.77
148,Shenzhen,Greater China,28.8,4.74,2.08,6.06,8.15
149,Illinois,North America,27.66,12.94,8.11,5.53,9.46
150,Illinois,North America,25.43,3.15,4.72,4.81,12.76
151,Shenzhen,Greater China,29.84,5.28,3.67,9.12,6.29
152,South Africa,Rest of World,24.94,11.63,4.15,2.26,5.51
153,Chongqing,Greater China,18.26,6.79,4.76,9.71,15.86
154,France,Europe,6.28,9.86,8.33,10.56,11.61
155,Mexico,Rest of World,17.8,7.49,8.35,10.95,7.43
156,Shenzhen,Greater China,25.6,4.44,8.81,3.0,5.12
157,Spain,Europe,25.98,3.33,9.17,11.69,9.6
158,Chongqing,Greater China,15.18,12.82,6.19,6.4,11.1
159,Hong Kong,Greater China,24.97,11.3,5.57,8.83,8.03
160,California,North America,13.34,8.37,3.44,11.14,17.14
161,Germany,Europe,25.89,11.99,6.55,9.09,10.41
162,California,North America,15.49,9.53,5.19,11.58,6.63
163,Beijing,Greater China,13.45,6.05,8.29,11.99,11.45
164,Hong Kong,Greater China,28.94,4.17,5.74,9.33,13.98
165,Hong Kong,Greater China,16.45,10.27,3.21,8.11,5.88
166,Mexico,Rest of World,25.99,8.02,7.33,2.44,8.26
167,Shanghai,Greater China,16.45,4.59,7.94,3.69,9.54
168,Australia,Rest of World,9.11,2.11,5.68,4.65,19.55
169,Indonesia,Rest of Asia,22.14,9.47,4.87,7.27,18.92
170,France,Europe,9.22,7.62,2.66,11.89,5.99
171,Beijing,Greater China,18.88,8.92,6.09,6.47,7.56
172,France,Europe,28.25,3.97,5.16,4.06,16.25
173,Chongqing,Greater China,28.38,6.12,6.39,11.71,11.37
174,Texas,North America,7.01,13.03,5.94,7.17,15.43
175,Hong Kong,Greater China,17.95,9.49,6.06,11.66,11.92
176,Italy,Europe,6.25,6.44,5.5,4.85,19.08
177,Canada,Rest of World,24.23,7.93,2.89,2.69,13.15
178,South Africa,Rest of World,14.24,12.67,5.55,8.11,12.64
179,Germany,Europe,22.89,14.29,3.96,10.72,5.05
180,UK,Europe,22.52,9.0,5.55,10.26,19.37
181,Shanghai,Greater China,13.7,10.82,3.33,11.49,15.17
182,California,North America,23.31,10.77,7.3,3.22,10.66
183,Indonesia,Rest of Asia,15.37,8.22,9.34,4.31,16.89
184,India,Rest of Asia,10.51,4.76,4.46,4.38,18.39
185,Australia,Rest of World,6.49,5.45,4.03,3.42,7.18
186,South Africa,Rest of World,19.55,6.88,2.3,8.49,9.23
187,Mexico,Rest of World,25.83,11.65,1.26,7.76,14.63
188,South Korea,Rest of Asia,16.55,10.73,5.97,5.41,6.88
189,South Korea,Rest of Asia,6.89,11.78,8.58,7.66,18.24
190,Brazil,Rest of World,13.58,11.45,6.11,3.86,5.3
191,Japan,Rest of Asia,10.91,8.68,6.63,11.62,11.34
192,France,Europe,5.37,8.0,8.04,4.53,19.02
193,Indonesia,Rest of Asia,7.41,2.77,5.57,3.52,16.46
194,Australia,Rest of World,15.75,6.93,4.86,7.89,9.66
195,Indonesia,Rest of Asia,11.55,4.38,7.38,11.23,8.03
196,Beijing,Greater China,24.19,8.27,4.97,3.39,11.65
197,Canada,Rest of World,27.99,2.18,2.39,6.04,16.46
198,Beijing,Greater China,21.44,6.84,3.63,7.15,13.54
199,Shenzhen,Greater China,16.23,9.37,1.9,8.64,14.05
200,UK,Europe,25.52,11.8,3.57,6.9,13.48
201,France,Europe,16.35,4.79,4.64,8.51,17.21
202,California,North America,18.63,14.13,4.57,8.97,5.92
203,Florida,North America,7.67,9.85,3.24,5.86,12.83
204,Mexico,Rest of World,12.43,4.46,2.4,2.27,11.97
205,Shanghai,Greater China,20.71,2.92,7.85,5.07,10.96
206,Brazil,Rest of World,17.34,11.43,3.24,5.72,14.5
207,Germany,Europe,27.78,8.03,3.83,6.73,11.26
208,Texas,North America,11.75,13.96,9.63,11.19,12.96
209,Indonesia,Rest of Asia,27.03,13.3,1.19,8.43,17.36
210,Chongqing,Greater China,11.34,5.69,8.37,2.0,17.28
211,New York,North America,21.63,6.61,8.42,10.78,11.27
212,Germany,Europe,25.57,3.51,2.56,6.65,5.08
213,Mexico,Rest of World,7.11,5.74,2.18,9.25,14.81
214,Japan,Rest of Asia,19.28,12.19,5.1,2.98,10.08
215,California,North America,27.49,11.69,6.85,11.78,7.05
216,UK,Europe,6.61,10.26,8.61,7.27,9.4
217,Illinois,North America,13.63,3.65,8.87,8.89,13.49
218,Chongqing,Greater China,12.92,5.21,8.94,3.43,17.77
219,Hong Kong,Greater China,23.49,13.79,5.09,4.31,19.12
220,Texas,North America,11.52,6.87,9.04,5.66,6.48
221,Japan,Rest of Asia,22.7,6.54,8.47,9.12,19.35
222,Spain,Europe,13.74,9.84,2.8,7.59,6.83
223,Shanghai,Greater China,17.53,8.79,9.73,11.36,16.75
224,Beijing,Greater China,6.78,10.7,6.71,6.05,8.9
225,Italy,Europe,13.55,12.05,9.07,11.61,11.14
226,South Korea,Rest of Asia,12.58,8.89,6.35,4.69,11.43
227,Shenzhen,Greater China,13.28,13.97,5.91,6.16,17.88
228,Shenzhen,Greater China,9.79,14.03,6.73,3.49,13.52
229,California,North America,22.37,14.16,8.24,7.21,10.35
230,Illinois,North America,19.05,14.91,8.43,3.68,9.01
231,Japan,Rest of Asia,26.98,4.57,3.88,6.24,9.78
232,Chongqing,Greater China,19.3,5.82,5.95,11.67,5.29
233,South Africa,Rest of World,18.93,11.93,5.56,4.24,6.53
234,Hong Kong,Greater China,24.42,4.41,4.24,2.18,6.63
235,Brazil,Rest of World,8.05,14.28,9.69,7.68,19.92
236,Thailand,Rest of Asia,9.07,2.49,3.23,10.3,6.1
237,Hong Kong,Greater China,7.97,11.25,8.14,7.41,12.6
238,Spain,Europe,11.1,14.95,1.24,7.14,8.96
239,Thailand,Rest of Asia,6.59,3.17,4.78,7.05,7.25
240,Mexico,Rest of World,19.82,13.07,8.8,2.95,17.65
241,Shanghai,Greater China,21.55,5.16,8.64,10.22,15.54
242,Japan,Rest of Asia,13.85,8.61,7.3,8.44,10.42
243,Shenzhen,Greater China,7.31,7.86,2.83,11.06,13.54
244,South Africa,Rest of World,28.67,10.1,7.26,8.45,15.32
245,France,Europe,20.47,3.82,3.93,6.63,18.85
246,California,North America,16.67,2.75,6.04,5.1,14.38
247,New York,North America,22.32,10.5,6.36,4.12,15.47
248,Indonesia,Rest of Asia,19.11,12.75,8.73,4.22,13.88
249,Illinois,North America,6.19,14.22,3.39,10.11,18.87
250,Hong Kong,Greater China,24.66,3.14,1.31,11.25,17.27
251,Germany,Europe,13.46,5.15,7.31,6.16,8.54
252,Shenzhen,Greater China,9.71,2.84,5.54,2.87,15.56
253,Spain,Europe,10.88,11.41,3.46,3.94,9.99
254,Shanghai,Greater China,14.82,7.95,8.34,4.74,12.2
255,France,Europe,27.09,12.62,8.08,7.32,5.66
256,Beijing,Greater China,19.19,4.53,7.44,3.05,13.78
257,California,North America,17.24,13.57,3.1,10.62,10.12
258,Mexico,Rest of World,26.7,4.67,2.42,3.02,7.98
259,Australia,Rest of World,24.9,9.84,7.3,11.03,9.36
260,Indonesia,Rest of Asia,13.65,13.04,5.47,8.81,6.4
261,France,Europe,20.59,2.59,3.43,11.06,8.16
262,Shenzhen,Greater China,15.18,10.78,8.88,3.2,14.49
263,France,Europe,15.51,9.04,7.31,11.56,10.38
264,Mexico,Rest of World,10.52,12.54,9.95,8.19,15.63
265,Japan,Rest of Asia,8.17,5.89,5.49,3.06,11.18
266,Canada,Rest of World,6.84,2.59,4.66,10.03,18.05
267,France,Europe,16.17,6.25,5.2,5.94,10.75
268,Illinois,North America,25.81,9.78,9.21,5.29,19.22
269,France,Europe,28.37,9.34,7.72,5.11,9.38
270,Spain,Europe,29.32,6.14,2.13,5.15,11.59
271,France,Europe,17.47,6.45,5.96,9.54,17.89
272,Spain,Europe,28.29,2.6,7.08,6.41,12.76
273,Japan,Rest of Asia,25.89,12.24,2.57,10.17,12.26
274,UK,Europe,14.66,2.02,4.01,3.18,7.72
275,Germany,Europe,10.56,8.31,8.02,4.01,9.9
276,Thailand,Rest of Asia,24.57,6.21,2.81,10.02,14.4
277,Texas,North America,13.32,14.24,3.42,11.94,19.45
278,France,Europe,19.64,13.24,8.34,9.42,11.24
279,Shenzhen,Greater China,28.7,13.2,4.5,8.12,5.96
280,Beijing,Greater China,13.87,2.77,3.36,5.27,7.49
281,Thailand,Rest of Asia,15.23,9.26,8.13,5.88,9.56
282,Indonesia,Rest of Asia,13.23,3.27,4.9,2.85,8.52
283,Italy,Europe,11.09,11.39,5.03,6.65,7.71
284,Thailand,Rest of Asia,15.15,5.11,2.66,11.15,10.51
285,France,Europe,29.29,12.6,1.65,11.36,18.39
286,Texas,North America,25.29,13.2,1.18,3.93,10.2
287,Brazil,Rest of World,25.37,10.9,4.92,8.31,8.09
288,Chongqing,Greater China,29.79,9.95,3.21,2.08,16.92
289,India,Rest of Asia,12.22,9.87,2.63,3.08,8.1
290,Thailand,Rest of Asia,29.11,5.69,2.63,3.62,7.47
291,Thailand,Rest of Asia,23.16,8.93,3.83,4.02,16.65
292,Thailand,Rest of Asia,12.14,10.06,9.86,11.66,17.46
293,South Africa,Rest of World,25.88,6.07,3.38,9.13,14.26
294,South Korea,Rest of Asia,26.18,11.01,7.76,5.81,18.93
295,UK,Europe,8.18,6.99,9.07,2.43,11.09
296,Mexico,Rest of World,23.67,14.17,5.63,2.58,11.55
297,New York,North America,10.51,8.38,4.59,3.55,7.12
298,South Africa,Rest of World,15.52,5.26,2.42,8.48,9.93
299,Australia,Rest of World,27.31,13.88,2.04,4.64,19.19
300,India,Rest of Asia,25.56,12.26,8.03,11.71,11.21
301,Hong Kong,Greater China,22.78,8.21,8.54,6.24,13.87
302,France,Europe,9.17,9.6,3.3,10.44,19.57
303,Indonesia,Rest of Asia,10.43,2.11,5.41,3.73,5.08
304,Chongqing,Greater China,6.05,3.53,4.81,2.77,11.98
305,Illinois,North America,14.23,3.04,6.64,3.69,16.25
306,Canada,Rest of World,6.25,3.96,1.37,8.25,17.29
307,Beijing,Greater China,27.45,6.87,2.33,2.92,6.81
308,Shanghai,Greater China,24.24,7.72,9.43,4.55,5.37
309,Shanghai,Greater China,8.79,11.65,3.63,4.09,13.34
310,Hong Kong,Greater China,20.26,11.31,4.82,3.05,9.23
311,Italy,Europe,28.77,2.72,7.59,2.66,14.75
312,Illinois,North America,15.26,11.95,1.64,11.23,5.85
313,UK,Europe,15.46,12.17,9.5,2.64,5.84
314,Beijing,Greater China,25.57,5.5,1.87,9.4,5.96
315,Thailand,Rest of Asia,13.54,7.75,7.94,9.77,5.21
316,Florida,North America,27.69,9.48,8.96,2.95,8.06
317,Illinois,North America,11.66,10.8,5.89,10.3,14.55
318,UK,Europe,15.34,2.69,5.21,6.56,6.56
319,Australia,Rest of World,6.0,8.95,5.34,8.64,17.24
320,Chongqing,Greater China,12.32,8.07,6.2,8.22,8.62
321,Shanghai,Greater China,25.63,6.95,2.22,5.58,14.04
322,Germany,Europe,17.94,6.86,5.96,2.72,10.74
323,Japan,Rest of Asia,25.51,8.31,5.64,4.11,19.53
324,Japan,Rest of Asia,24.7,7.21,3.55,8.39,13.65
325,Indonesia,Rest of Asia,6.77,9.26,9.15,7.03,5.77
326,New York,North America,6.99,9.92,3.96,11.69,5.22
327,Shanghai,Greater China,19.58,8.16,8.75,3.94,15.63
328,Hong Kong,Greater China,24.03,6.8,8.62,5.11,9.21
329,Spain,Europe,12.46,6.64,1.11,4.95,9.56
330,Canada,Rest of World,15.64,10.53,9.21,3.81,8.29
331,South Korea,Rest of Asia,12.85,5.99,3.61,7.15,14.59
332,Italy,Europe,29.42,4.21,2.14,3.59,15.2
333,Australia,Rest of World,5.15,8.54,3.21,7.33,5.56
334,Italy,Europe,24.69,11.59,3.76,9.99,8.37
335,UK,Europe,14.43,14.82,6.18,5.39,11.42
336,Illinois,North America,16.35,2.07,3.84,5.07,15.07
337,Germany,Europe,26.07,9.91,5.4,2.02,12.68
338,Shanghai,Greater China,12.31,8.48,7.16,2.62,8.59
339,New York,North America,21.11,14.06,6.39,6.51,17.43
340,Chongqing,Greater China,5.39,7.1,7.34,7.52,19.87
341,Japan,Rest of Asia,18.21,13.74,3.61,11.21,11.45
342,Illinois,North America,27.26,7.38,7.37,11.43,16.06
343,Illinois,North America,29.65,11.31,9.31,3.07,15.5
344,Beijing,Greater China,7.4,7.66,4.26,8.86,14.01
345,France,Europe,20.72,5.77,1.33,3.06,8.16
346,Hong Kong,Greater China,23.42,13.31,2.21,7.14,16.54
347,South Korea,Rest of Asia,25.46,12.24,9.99,3.1,17.26
348,Indonesia,Rest of Asia,22.51,12.29,4.79,6.62,7.65
349,Thailand,Rest of Asia,26.44,8.83,5.3,5.35,16.6
350,California,North America,21.69,13.93,5.36,5.19,12.43
351,France,Europe,16.42,11.08,7.26,6.17,11.6
352,Hong Kong,Greater China,12.45,13.97,7.94,10.76,16.8
353,Brazil,Rest of World,23.71,2.82,1.35,8.83,18.27
354,Beijing,Greater China,14.56,11.22,3.02,7.17,15.21
355,Italy,Europe,9.02,7.24,9.16,4.84,15.04
356,Texas,North America,19.08,5.74,4.64,3.64,19.87
357,Brazil,Rest of World,15.52,9.58,7.11,2.22,12.14
358,Brazil,Rest of World,27.57,7.1,6.07,11.74,18.66
359,Hong Kong,Greater China,28.72,13.02,6.11,8.74,18.64
360,Shanghai,Greater China,27.23,3.62,8.61,7.23,14.87
361,Spain,Europe,23.56,6.28,3.99,3.09,13.73
362,Texas,North America,17.01,5.72,7.21,3.97,14.68
363,Australia,Rest of World,17.3,9.35,8.9,11.19,8.14
364,Italy,Europe,8.42,9.83,7.72,11.71,6.61
365,Spain,Europe,12.26,10.07,7.8,2.79,5.15
366,South Korea,Rest of Asia,14.97,13.28,7.21,5.21,18.38
367,Shenzhen,Greater China,10.24,14.91,5.72,10.48,8.71
368,France,Europe,10.93,10.36,5.74,9.78,16.7
369,Chongqing,Greater China,12.0,9.84,2.35,4.33,5.81
370,Japan,Rest of Asia,29.04,9.38,8.81,10.21,7.79
371,South Africa,Rest of World,21.15,9.68,7.28,4.46,19.58
372,Thailand,Rest of Asia,6.6,10.07,6.42,9.62,14.27
373,Australia,Rest of World,6.79,6.06,2.31,10.51,14.45
374,India,Rest of Asia,26.43,4.31,9.58,11.52,11.32
375,Florida,North America,19.87,3.91,5.48,7.19,12.23
376,Canada,Rest of World,10.67,9.67,1.02,6.36,5.79
377,South Africa,Rest of World,19.81,14.06,4.62,8.08,16.41
378,Australia,Rest of World,18.78,14.52,4.79,3.66,18.16
379,Shenzhen,Greater China,6.45,3.68,3.03,7.05,8.05
380,New York,North America,17.96,14.79,5.38,8.93,18.16
381,South Korea,Rest of Asia,28.13,9.06,8.01,3.48,11.41
382,Chongqing,Greater China,23.18,14.84,5.7,7.6,19.4
383,Illinois,North America,18.32,14.18,4.14,6.93,8.34
384,Thailand,Rest of Asia,22.6,2.76,8.2,5.41,9.36
385,UK,Europe,13.56,8.79,7.62,8.57,9.26
386,Beijing,Greater China,8.45,8.87,3.29,11.93,17.78
387,Indonesia,Rest of Asia,23.77,12.36,1.05,10.0,8.17
388,California,North America,15.63,8.18,6.63,4.95,14.96
389,Hong Kong,Greater China,24.44,8.65,2.32,2.48,8.09
390,Canada,Rest of World,10.64,11.27,3.57,6.89,12.13
391,Shanghai,Greater China,15.09,12.66,4.85,2.99,18.02
392,Texas,North America,16.82,2.58,2.23,2.23,9.27
393,Shenzhen,Greater China,5.4,7.9,1.97,3.59,17.91
394,Shanghai,Greater China,23.76,14.09,5.86,9.08,9.42
395,Mexico,Rest of World,21.49,3.77,1.2,10.88,12.14
396,Shenzhen,Greater China,17.76,6.89,9.97,11.6,8.75
397,Illinois,North America,25.92,5.47,8.74,11.47,18.94
398,Texas,North America,18.79,4.25,4.4,10.75,18.1
399,California,North America,27.65,3.1,9.51,8.05,8.82
400,UK,Europe,6.57,11.26,8.33,4.53,8.92
401,New York,North America,7.38,14.85,4.67,9.15,6.81
402,Hong Kong,Greater China,10.72,14.88,8.21,11.83,19.15
403,Japan,Rest of Asia,11.35,6.08,6.41,6.07,18.16
404,Chongqing,Greater China,8.14,10.72,5.03,8.64,11.12
405,Italy,Europe,12.95,11.92,6.23,5.02,5.7
406,Indonesia,Rest of Asia,8.19,8.9,2.62,5.76,8.73
407,Shenzhen,Greater China,27.14,5.66,4.54,6.88,5.15
408,Shanghai,Greater China,20.61,3.48,7.44,8.22,12.25
409,Texas,North America,25.12,2.84,6.93,12.0,13.02
410,New York,North America,9.14,7.02,4.42,11.98,6.19
411,Spain,Europe,7.61,2.16,1.38,8.44,18.92
412,Indonesia,Rest of Asia,20.15,2.04,4.48,10.21,18.62
413,Illinois,North America,12.92,12.04,3.07,10.97,6.41
414,Hong Kong,Greater China,8.84,6.64,4.94,11.95,10.11
415,Italy,Europe,27.29,3.77,6.3,8.73,16.86
416,Mexico,Rest of World,29.53,10.31,7.85,11.47,12.62
417,Hong Kong,Greater China,25.91,12.47,2.99,5.03,10.97
418,Canada,Rest of World,17.16,8.62,9.87,3.37,15.46
419,Germany,Europe,8.24,14.98,2.78,7.55,17.75
420,Canada,Rest of World,21.59,13.54,8.89,3.5,6.63
421,Australia,Rest of World,8.13,13.38,3.67,7.76,11.6
422,New York,North America,5.88,14.83,9.34,3.91,18.49
423,California,North America,5.15,7.28,8.22,5.83,17.72
424,France,Europe,22.8,6.52,7.88,10.84,9.85
425,New York,North America,11.52,12.38,5.22,7.11,8.62
426,Canada,Rest of World,8.22,2.71,3.69,2.66,13.22
427,Canada,Rest of World,13.54,5.64,8.94,10.53,10.46
428,Mexico,Rest of World,27.55,11.15,5.8,5.31,17.71
429,Shanghai,Greater China,10.4,4.97,6.07,5.91,16.8
430,South Africa,Rest of World,26.91,3.94,5.41,7.69,15.8
431,France,Europe,9.31,12.46,9.8,9.89,13.11
432,Shanghai,Greater China,23.3,5.6,1.43,11.64,19.47
433,Germany,Europe,10.52,9.79,8.39,6.19,15.87
434,California,North America,5.69,11.8,1.92,8.02,11.96
435,Indonesia,Rest of Asia,11.45,11.89,5.25,8.28,7.81
436,UK,Europe,25.68,14.39,5.95,4.97,13.95
